dataset,model,fold_id,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,sensitivity_narcolepsy,specificity_comparison,roc_auc
report_only,logistic_regression,18,0.5555555555555556,0.5357142857142857,0.5,0.5925925925925926,0.525,0.5357142857142857,0.5,0.5714285714285714,0.7857142857142857
report_only,logistic_regression,19,0.8888888888888888,0.75,0.8,0.874074074074074,0.9375,0.75,0.5,1.0,0.8571428571428572
report_only,logistic_regression,20,0.8888888888888888,0.9285714285714286,0.8615384615384616,0.8957264957264957,0.8333333333333333,0.9285714285714286,1.0,0.8571428571428571,1.0
report_only,logistic_regression,21,0.8,0.6875,0.6875,0.8,0.6875,0.6875,0.5,0.875,0.6875
report_only,logistic_regression,22,0.6,0.6190476190476191,0.5833333333333333,0.6166666666666666,0.6000000000000001,0.6190476190476191,0.6666666666666666,0.5714285714285714,0.8571428571428571
report_only,logistic_regression,23,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.7857142857142857
report_only,logistic_regression,24,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.6428571428571428
report_only,logistic_regression,25,0.7777777777777778,0.5,0.4375,0.6805555555555556,0.3888888888888889,0.5,0.0,1.0,0.9285714285714286
report_only,logistic_regression,26,0.7,0.4375,0.4117647058823529,0.6588235294117647,0.3888888888888889,0.4375,0.0,0.875,0.625
report_only,logistic_regression,27,0.8,0.6666666666666666,0.6875,0.7625,0.8888888888888888,0.6666666666666666,0.3333333333333333,1.0,0.5714285714285714
report_only,logistic_regression,28,0.6666666666666666,0.6071428571428572,0.5846153846153846,0.6871794871794872,0.5833333333333334,0.6071428571428572,0.5,0.7142857142857143,0.7857142857142857
report_only,logistic_regression,29,0.6666666666666666,0.6071428571428572,0.5846153846153846,0.6871794871794872,0.5833333333333334,0.6071428571428572,0.5,0.7142857142857143,0.8571428571428572
report_only,logistic_regression,30,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.8571428571428572
report_only,logistic_regression,31,0.5,0.3125,0.3333333333333333,0.5333333333333333,0.35714285714285715,0.3125,0.0,0.625,0.625
report_only,logistic_regression,32,0.8,0.6666666666666666,0.6875,0.7625,0.8888888888888888,0.6666666666666666,0.3333333333333333,1.0,1.0
report_only,logistic_regression,33,0.8888888888888888,0.75,0.8,0.874074074074074,0.9375,0.75,0.5,1.0,0.9285714285714286
report_only,logistic_regression,34,0.6666666666666666,0.6071428571428572,0.5846153846153846,0.6871794871794872,0.5833333333333334,0.6071428571428572,0.5,0.7142857142857143,0.8571428571428572
report_only,logistic_regression,35,0.7777777777777778,0.8571428571428572,0.75,0.7962962962962963,0.75,0.8571428571428572,1.0,0.7142857142857143,0.9285714285714286
report_only,logistic_regression,36,0.6,0.5625,0.5238095238095238,0.6380952380952382,0.5416666666666667,0.5625,0.5,0.625,0.375
report_only,logistic_regression,37,0.8,0.6666666666666666,0.6875,0.7625,0.8888888888888888,0.6666666666666666,0.3333333333333333,1.0,1.0
report_only,logistic_regression,38,0.6666666666666666,0.6071428571428572,0.5846153846153846,0.6871794871794872,0.5833333333333334,0.6071428571428572,0.5,0.7142857142857143,0.7142857142857143
report_only,logistic_regression,39,0.6666666666666666,0.7857142857142857,0.6493506493506493,0.6926406926406927,0.7,0.7857142857142857,1.0,0.5714285714285714,1.0
report_only,logistic_regression,40,0.5555555555555556,0.35714285714285715,0.35714285714285715,0.5555555555555556,0.35714285714285715,0.35714285714285715,0.0,0.7142857142857143,0.7142857142857143
report_only,logistic_regression,41,0.8,0.6875,0.6875,0.8,0.6875,0.6875,0.5,0.875,0.875
report_only,logistic_regression,42,0.8,0.6666666666666666,0.6875,0.7625,0.8888888888888888,0.6666666666666666,0.3333333333333333,1.0,0.8095238095238095
report_only,logistic_regression,43,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.7142857142857143
report_only,logistic_regression,44,0.6666666666666666,0.6071428571428572,0.5846153846153846,0.6871794871794872,0.5833333333333334,0.6071428571428572,0.5,0.7142857142857143,0.8571428571428572
report_only,logistic_regression,45,0.4444444444444444,0.2857142857142857,0.3076923076923077,0.4786324786324787,0.3333333333333333,0.2857142857142857,0.0,0.5714285714285714,0.5
report_only,logistic_regression,46,0.7,0.625,0.6000000000000001,0.72,0.5952380952380952,0.625,0.5,0.75,0.6875
report_only,logistic_regression,47,0.7,0.6904761904761905,0.6703296703296704,0.7098901098901099,0.6666666666666667,0.6904761904761905,0.6666666666666666,0.7142857142857143,0.7619047619047619
report_only,logistic_regression,48,0.6666666666666666,0.6071428571428572,0.5846153846153846,0.6871794871794872,0.5833333333333334,0.6071428571428572,0.5,0.7142857142857143,0.7142857142857143
report_only,logistic_regression,49,0.5555555555555556,0.35714285714285715,0.35714285714285715,0.5555555555555556,0.35714285714285715,0.35714285714285715,0.0,0.7142857142857143,0.5
report_only,logistic_regression,50,0.7777777777777778,0.8571428571428572,0.75,0.7962962962962963,0.75,0.8571428571428572,1.0,0.7142857142857143,0.9285714285714286
report_only,linear_svm,1,0.7,0.625,0.6000000000000001,0.72,0.5952380952380952,0.625,0.5,0.75,0.8125
report_only,linear_svm,2,0.6,0.5238095238095238,0.5238095238095238,0.6,0.5238095238095238,0.5238095238095238,0.3333333333333333,0.7142857142857143,0.7619047619047619
report_only,linear_svm,3,0.5555555555555556,0.35714285714285715,0.35714285714285715,0.5555555555555556,0.35714285714285715,0.35714285714285715,0.0,0.7142857142857143,0.6428571428571428
report_only,linear_svm,4,0.7777777777777778,0.8571428571428572,0.75,0.7962962962962963,0.75,0.8571428571428572,1.0,0.7142857142857143,0.8571428571428572
report_only,linear_svm,5,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.5
report_only,linear_svm,6,0.8,0.6875,0.6875,0.8,0.6875,0.6875,0.5,0.875,0.8125
report_only,linear_svm,7,0.8,0.6666666666666666,0.6875,0.7625,0.8888888888888888,0.6666666666666666,0.3333333333333333,1.0,0.7619047619047619
report_only,linear_svm,8,0.6666666666666666,0.6071428571428572,0.5846153846153846,0.6871794871794872,0.5833333333333334,0.6071428571428572,0.5,0.7142857142857143,0.7857142857142857
report_only,linear_svm,9,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.8571428571428572
report_only,linear_svm,10,0.6666666666666666,0.6071428571428572,0.5846153846153846,0.6871794871794872,0.5833333333333334,0.6071428571428572,0.5,0.7142857142857143,0.7857142857142857
report_only,linear_svm,11,0.9,0.75,0.803921568627451,0.8862745098039216,0.9444444444444444,0.75,0.5,1.0,1.0
report_only,linear_svm,12,0.6,0.5238095238095238,0.5238095238095238,0.6,0.5238095238095238,0.5238095238095238,0.3333333333333333,0.7142857142857143,0.7142857142857142
report_only,linear_svm,13,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.5714285714285714
report_only,linear_svm,14,0.5555555555555556,0.35714285714285715,0.35714285714285715,0.5555555555555556,0.35714285714285715,0.35714285714285715,0.0,0.7142857142857143,0.2857142857142857
